Date,Open,High,Low,Close,Adj Close,Volume
2002-05-20,1350.000000,1350.000000,1350.000000,1350.000000,950.614319,40000
2002-05-21,1400.000000,1400.000000,1350.000000,1350.000000,950.614319,0
2002-05-22,1350.000000,1350.000000,1350.000000,1350.000000,950.614319,1500
2002-05-23,1300.000000,1300.000000,1275.000000,1300.000000,915.406494,215000
2002-05-24,1275.000000,1275.000000,1250.000000,1275.000000,897.802490,410000
2002-05-27,1300.000000,1400.000000,1300.000000,1350.000000,950.614319,569000
2002-05-28,1375.000000,1450.000000,1375.000000,1400.000000,985.822449,834000
2002-05-29,1400.000000,1450.000000,1400.000000,1450.000000,1021.030151,175500
2002-05-30,1425.000000,1425.000000,1400.000000,1400.000000,985.822449,179500
2002-05-31,1400.000000,1400.000000,1375.000000,1400.000000,985.822449,34000
2002-06-03,1400.000000,1400.000000,1400.000000,1400.000000,985.822449,65000
2002-06-04,1400.000000,1450.000000,1400.000000,1400.000000,985.822449,216000
2002-06-05,1400.000000,1400.000000,1325.000000,1350.000000,950.614319,50500
2002-06-06,1350.000000,1375.000000,1350.000000,1375.000000,968.218506,132000
2002-06-07,1375.000000,1400.000000,1375.000000,1375.000000,968.218506,11500
2002-06-10,1400.000000,1400.000000,1400.000000,1400.000000,985.822449,242500
2002-06-11,1425.000000,1500.000000,1425.000000,1475.000000,1038.634033,829000
2002-06-12,1475.000000,1625.000000,1475.000000,1600.000000,1126.654053,4246000
2002-06-13,1600.000000,1625.000000,1550.000000,1550.000000,1091.446167,1012500
2002-06-14,1550.000000,1550.000000,1500.000000,1525.000000,1073.842163,84000
2002-06-17,1475.000000,1600.000000,1475.000000,1550.000000,1091.446167,213000
2002-06-18,1550.000000,1550.000000,1525.000000,1525.000000,1073.842163,47500
2002-06-19,1575.000000,1575.000000,1500.000000,1500.000000,1056.238281,15500
2002-06-20,1525.000000,1525.000000,1525.000000,1525.000000,1073.842163,12000
2002-06-21,1350.000000,1450.000000,1350.000000,1450.000000,1021.030151,35000
2002-06-24,1400.000000,1400.000000,1400.000000,1400.000000,1016.673401,30000
2002-06-25,1450.000000,1450.000000,1375.000000,1375.000000,998.518311,0
2002-06-26,1375.000000,1400.000000,1375.000000,1400.000000,1016.673401,61500
2002-06-27,1450.000000,1450.000000,1450.000000,1450.000000,1052.983032,2500
2002-06-28,1450.000000,1450.000000,1375.000000,1375.000000,998.518311,0
2002-07-01,1450.000000,1450.000000,1250.000000,1250.000000,907.743835,0
2002-07-02,1425.000000,1425.000000,1425.000000,1425.000000,1034.828003,2500
2002-07-03,1400.000000,1400.000000,1325.000000,1325.000000,962.208496,0
