Date,Open,High,Low,Close,Adj Close,Volume
2012-02-20,510.000000,530.000000,510.000000,510.000000,507.751648,5443000
2012-02-21,510.000000,530.000000,510.000000,510.000000,507.751648,6529500
2012-02-22,510.000000,520.000000,500.000000,510.000000,507.751648,7254500
2012-02-23,500.000000,520.000000,495.000000,500.000000,497.795746,7103000
2012-02-24,485.000000,500.000000,480.000000,485.000000,482.861877,8938500
2012-02-27,485.000000,485.000000,475.000000,485.000000,482.861877,5081000
2012-02-28,500.000000,510.000000,485.000000,500.000000,497.795746,8921000
2012-02-29,495.000000,520.000000,490.000000,495.000000,492.817780,6154000
2012-03-01,490.000000,495.000000,485.000000,490.000000,487.839844,5557500
2012-03-02,490.000000,500.000000,485.000000,490.000000,487.839844,5902000
2012-03-05,475.000000,490.000000,470.000000,475.000000,472.905975,6853000
2012-03-06,470.000000,475.000000,465.000000,470.000000,467.928009,5243500
2012-03-07,460.000000,465.000000,455.000000,460.000000,457.972076,5583000
2012-03-08,460.000000,475.000000,455.000000,460.000000,457.972076,8122500
2012-03-09,460.000000,465.000000,455.000000,460.000000,457.972076,3
2012-03-12,455.000000,460.000000,445.000000,455.000000,452.994141,5111500
2012-03-13,455.000000,465.000000,455.000000,455.000000,452.994141,5290000
2012-03-14,455.000000,465.000000,450.000000,455.000000,452.994141,9019500
2012-03-15,450.000000,460.000000,445.000000,450.000000,448.016174,9761500
2012-03-16,440.000000,455.000000,435.000000,440.000000,438.060272,8028000
2012-03-19,430.000000,440.000000,420.000000,430.000000,428.104340,6823500
2012-03-20,420.000000,440.000000,415.000000,420.000000,418.148438,7771500
2012-03-21,415.000000,425.000000,410.000000,415.000000,413.170471,6220500
2012-03-22,415.000000,435.000000,410.000000,415.000000,413.170471,8844000
2012-03-26,405.000000,420.000000,400.000000,405.000000,403.214569,6855000
2012-03-27,415.000000,420.000000,410.000000,415.000000,413.170471,5655500
2012-03-28,410.000000,425.000000,410.000000,410.000000,408.192505,10519000
2012-03-29,420.000000,425.000000,415.000000,420.000000,418.148438,10677500
2012-03-30,420.000000,425.000000,415.000000,420.000000,418.148438,8044000
2012-04-02,420.000000,425.000000,415.000000,420.000000,418.148438,10689000
2012-04-03,420.000000,420.000000,420.000000,420.000000,418.148438,0
2012-04-04,405.000000,420.000000,395.000000,405.000000,403.214569,12193500
2012-04-05,405.000000,410.000000,395.000000,405.000000,403.214569,7769500
2012-04-09,400.000000,410.000000,400.000000,400.000000,398.236572,6876500
2012-04-10,400.000000,410.000000,400.000000,400.000000,398.236572,8877000
2012-04-11,400.000000,405.000000,395.000000,400.000000,398.236572,5413000
2012-04-12,405.000000,425.000000,400.000000,405.000000,403.214569,20682500
2012-04-13,405.000000,415.000000,405.000000,405.000000,403.214569,9732500
2012-04-16,405.000000,410.000000,400.000000,405.000000,403.214569,5243000
2012-04-17,405.000000,410.000000,400.000000,405.000000,403.214569,5360000
2012-04-18,405.000000,410.000000,400.000000,405.000000,403.214569,5330500
2012-04-19,400.000000,405.000000,395.000000,400.000000,398.236572,8606500
2012-04-20,400.000000,405.000000,395.000000,400.000000,398.236572,5409000
2012-04-23,400.000000,410.000000,395.000000,400.000000,398.236572,10423500
2012-04-24,400.000000,410.000000,400.000000,400.000000,398.236572,10903500
2012-04-25,410.000000,410.000000,400.000000,410.000000,408.192505,5062000
2012-04-26,405.000000,425.000000,405.000000,405.000000,403.214569,19256000
2012-04-27,405.000000,415.000000,400.000000,405.000000,403.214569,8146500
2012-04-30,410.000000,410.000000,400.000000,410.000000,408.192505,6342000
2012-05-01,410.000000,420.000000,405.000000,410.000000,408.192505,10321500
2012-05-02,410.000000,420.000000,405.000000,410.000000,408.192505,3
2012-05-03,410.000000,410.000000,400.000000,410.000000,408.192505,5404500
2012-05-04,410.000000,410.000000,400.000000,410.000000,408.192505,5722500
2012-05-07,360.000000,405.000000,355.000000,360.000000,358.412933,14598500
2012-05-08,360.000000,365.000000,350.000000,360.000000,358.412933,5031500
2012-05-09,350.000000,360.000000,330.000000,350.000000,348.457001,8655500
2012-05-10,355.000000,365.000000,350.000000,355.000000,353.434998,8248500
2012-05-11,345.000000,355.000000,330.000000,345.000000,343.479065,5999500
2012-05-14,345.000000,345.000000,335.000000,345.000000,343.479065,5265500
2012-05-15,350.000000,350.000000,335.000000,350.000000,348.457001,6391500
2012-05-16,350.000000,350.000000,335.000000,350.000000,348.457001,5471500
2012-05-21,350.000000,350.000000,340.000000,350.000000,348.457001,5174500
2012-05-22,375.000000,375.000000,350.000000,375.000000,373.346802,8319500
2012-05-23,375.000000,375.000000,365.000000,375.000000,373.346802,5096500
2012-05-24,365.000000,385.000000,365.000000,365.000000,363.390900,5505000
2012-05-25,360.000000,370.000000,355.000000,360.000000,358.412933,5027500
2012-05-28,365.000000,365.000000,355.000000,365.000000,363.390900,5020500
2012-05-29,365.000000,370.000000,360.000000,365.000000,363.390900,5182000
2012-05-30,365.000000,365.000000,355.000000,365.000000,363.390900,5077000
2012-05-31,360.000000,360.000000,345.000000,360.000000,358.412933,5946000
2012-06-01,360.000000,365.000000,350.000000,360.000000,358.412933,5159500
2012-06-04,350.000000,355.000000,340.000000,350.000000,348.457001,5206500
2012-06-05,355.000000,365.000000,350.000000,355.000000,353.434998,5827000
2012-06-06,365.000000,365.000000,355.000000,365.000000,363.390900,5945000
2012-06-07,365.000000,375.000000,360.000000,365.000000,363.390900,6457000
2012-06-08,360.000000,365.000000,355.000000,360.000000,358.412933,5095000
2012-06-11,370.000000,370.000000,360.000000,370.000000,368.368866,5318000
2012-06-12,365.000000,365.000000,360.000000,365.000000,363.390900,5140500
2012-06-13,370.000000,370.000000,360.000000,370.000000,368.368866,5196500
2012-06-14,370.000000,370.000000,365.000000,370.000000,368.368866,5212000
2012-06-15,370.000000,380.000000,365.000000,370.000000,368.368866,5167500
2012-06-18,375.000000,380.000000,370.000000,375.000000,373.346802,5601500
2012-06-19,375.000000,375.000000,365.000000,375.000000,373.346802,5219000
2012-06-20,375.000000,380.000000,370.000000,375.000000,373.346802,4428500
2012-06-21,370.000000,375.000000,365.000000,370.000000,368.368866,5059000
2012-06-22,360.000000,370.000000,360.000000,360.000000,358.412933,4936000
2012-06-25,360.000000,365.000000,355.000000,360.000000,358.412933,5449500
2012-06-26,360.000000,365.000000,345.000000,350.000000,348.457001,5633500
2012-06-27,350.000000,360.000000,345.000000,355.000000,353.434998,5487500
2012-06-28,355.000000,360.000000,345.000000,350.000000,348.457001,5140000
2012-06-29,350.000000,360.000000,345.000000,350.000000,348.457001,5107000
2012-07-02,350.000000,360.000000,350.000000,350.000000,348.457001,5040000
2012-07-03,360.000000,370.000000,355.000000,360.000000,358.412933,4884500
2012-07-04,365.000000,370.000000,360.000000,365.000000,363.390900,5126500
2012-07-05,360.000000,365.000000,355.000000,360.000000,358.412933,4626000
2012-07-06,355.000000,360.000000,350.000000,355.000000,353.434998,3982500
2012-07-09,350.000000,355.000000,345.000000,350.000000,348.457001,5071500
2012-07-10,355.000000,355.000000,345.000000,355.000000,353.434998,5118000
2012-07-11,355.000000,355.000000,345.000000,355.000000,353.434998,4678500
