Date,Open,High,Low,Close,Adj Close,Volume
2009-12-17,807.497986,845.950989,769.046021,807.497986,670.415222,410063949
2009-12-21,797.885010,826.723999,778.658997,797.885010,662.434082,106748895
2009-12-22,797.885010,807.497986,788.271973,797.885010,662.434082,33082030
2009-12-23,807.497986,807.497986,797.885010,807.497986,670.415222,21272592
2009-12-28,807.497986,807.497986,788.271973,797.885010,662.434082,21603912
2009-12-29,807.497986,807.497986,788.271973,807.497986,670.415222,14579624
2009-12-30,807.497986,817.111023,797.885010,807.497986,670.415222,35472525
2010-01-04,807.497986,807.497986,797.885010,807.497986,670.415222,10038933
2010-01-05,807.497986,817.111023,797.885010,807.497986,670.415222,39935197
2010-01-06,894.015991,894.015991,807.497986,894.015991,742.245544,3
2010-01-07,894.015991,913.242004,874.789978,894.015991,742.245544,130264786
2010-01-08,922.854980,942.080994,884.403015,922.854980,766.188904,89620658
2010-01-11,903.629028,932.468018,884.403015,903.629028,750.226746,31011933
2010-01-12,894.015991,913.242004,884.403015,894.015991,742.245544,35512054
2010-01-13,894.015991,894.015991,865.177002,894.015991,742.245544,13811399
2010-01-14,884.403015,903.629028,884.403015,884.403015,734.264648,15300517
2010-01-15,884.403015,894.015991,874.789978,884.403015,734.264648,6616510
2010-01-18,884.403015,894.015991,874.789978,884.403015,734.264648,8863450
2010-01-19,894.015991,903.629028,874.789978,894.015991,742.245544,25652045
2010-01-20,903.629028,922.854980,894.015991,903.629028,750.226746,53889111
2010-01-21,980.533997,980.533997,894.015991,980.533997,814.076111,3
2010-01-22,990.146973,999.760010,942.080994,990.146973,822.057251,91408328
2010-01-25,980.533997,990.146973,961.307007,980.533997,814.076111,25725382
2010-01-26,980.533997,980.533997,942.080994,961.307007,798.113159,45689340
2010-01-27,980.533997,980.533997,951.693970,980.533997,814.076111,65120690
2010-01-28,1028.599976,1028.599976,970.919983,1028.599976,853.982300,94159269
2010-01-29,1018.989990,1028.599976,999.760010,1018.989990,846.003723,71673745
2010-02-01,1009.369995,1018.989990,990.146973,1009.369995,838.016907,36219424
2010-02-02,990.146973,1018.989990,980.533997,990.146973,822.057251,15192851
2010-02-03,1047.829956,1047.829956,970.919983,1047.829956,869.947754,3
2010-02-04,1038.209961,1047.829956,1028.599976,1038.209961,861.960815,45013698
2010-02-05,1009.369995,1018.989990,990.146973,1009.369995,838.016907,45814170
2010-02-08,1018.989990,1018.989990,961.307007,1018.989990,846.003723,47285084
2010-02-09,1038.209961,1038.209961,980.533997,1038.209961,861.960815,72385276
2010-02-10,1018.989990,1047.829956,1009.369995,1018.989990,846.003723,36860739
2010-02-11,1028.599976,1038.209961,999.760010,1028.599976,853.982300,35132883
2010-02-12,1028.599976,1047.829956,1018.989990,1028.599976,853.982300,18973120
2010-02-15,1038.209961,1038.209961,1018.989990,1038.209961,861.960815,6256063
2010-02-16,1047.829956,1047.829956,1028.599976,1047.829956,869.947754,10762426
2010-02-17,1057.439941,1057.439941,1028.599976,1057.439941,877.926392,52900353
2010-02-18,1038.209961,1057.439941,1028.599976,1038.209961,861.960815,10465435
2010-02-19,1018.989990,1028.599976,1009.369995,1018.989990,846.003723,26093631
2010-02-22,1028.599976,1038.209961,1009.369995,1028.599976,853.982300,9368492
2010-02-23,1038.209961,1038.209961,1018.989990,1038.209961,861.960815,6815718
2010-02-24,1028.599976,1038.209961,1018.989990,1028.599976,853.982300,7690048
2010-02-25,1018.989990,1018.989990,1009.369995,1018.989990,846.003723,5353647
2010-03-01,1009.369995,1018.989990,999.760010,1009.369995,838.016907,5723976
2010-03-02,1009.369995,1028.599976,999.760010,1009.369995,838.016907,12423706
2010-03-03,990.146973,1018.989990,980.533997,990.146973,822.057251,19746546
2010-03-04,990.146973,990.146973,970.919983,990.146973,822.057251,26066064
2010-03-05,990.146973,999.760010,980.533997,990.146973,822.057251,6348646
2010-03-08,1018.989990,1018.989990,990.146973,1018.989990,846.003723,17470479
2010-03-09,1018.989990,1018.989990,1009.369995,1018.989990,846.003723,8210173
2010-03-10,1018.989990,1018.989990,1009.369995,1018.989990,846.003723,7586023
2010-03-11,1028.599976,1047.829956,1009.369995,1028.599976,853.982300,48737793
2010-03-12,1028.599976,1038.209961,1018.989990,1028.599976,853.982300,15649001
2010-03-15,1018.989990,1028.599976,1009.369995,1018.989990,846.003723,12084584
2010-03-17,1038.209961,1047.829956,1018.989990,1038.209961,861.960815,33859617
2010-03-18,1124.729980,1124.729980,1038.209961,1124.729980,933.793152,3
2010-03-19,1115.119995,1143.959961,1105.500000,1115.119995,925.814453,42865582
2010-03-22,1105.500000,1124.729980,1086.280029,1105.500000,917.827698,47713667
2010-03-23,1115.119995,1143.959961,1105.500000,1115.119995,925.814453,47548267
2010-03-24,1134.339966,1143.959961,1115.119995,1134.339966,941.771545,36821209
2010-03-25,1143.959961,1172.800049,1134.339966,1143.959961,949.758667,33576669
2010-03-26,1201.630005,1201.630005,1153.569946,1201.630005,997.638367,47887909
2010-03-29,1230.469971,1230.469971,1201.630005,1230.469971,1021.582336,41345776
2010-03-30,1249.699951,1288.150024,1230.469971,1249.699951,1037.547729,51283285
2010-03-31,1278.540039,1297.770020,1259.310059,1278.540039,1061.491943,50761599
2010-04-01,1393.900024,1403.510010,1268.930054,1393.900024,1157.268066,3
2010-04-05,1393.900024,1586.160034,1393.900024,1518.869995,1261.022949,80331226
2010-04-06,1432.349976,1547.699951,1413.119995,1432.349976,1189.190918,40476648
2010-04-07,1432.349976,1470.800049,1345.829956,1432.349976,1189.190918,76890599
2010-04-08,1393.900024,1432.349976,1384.280029,1393.900024,1157.268066,19850571
2010-04-09,1393.900024,1413.119995,1374.670044,1393.900024,1157.268066,26734945
2010-04-12,1499.640015,1509.250000,1403.510010,1499.640015,1245.057495,89305462
2010-04-13,1470.800049,1490.030029,1441.959961,1470.800049,1221.113403,29180573
2010-04-14,1518.869995,1528.479980,1470.800049,1518.869995,1261.022949,49640210
2010-04-15,1509.250000,1538.089966,1499.640015,1509.250000,1253.036011,20914746
2010-04-16,1480.410034,1509.250000,1470.800049,1480.410034,1229.092041,18505527
2010-04-19,1432.349976,1470.800049,1413.119995,1432.349976,1189.190918,30565666
2010-04-20,1461.189941,1470.800049,1441.959961,1461.189941,1213.134766,20889260
2010-04-21,1470.800049,1490.030029,1461.189941,1470.800049,1221.113403,27218661
2010-04-22,1490.030029,1490.030029,1451.569946,1490.030029,1237.078735,29558184
2010-04-23,1480.410034,1499.640015,1480.410034,1480.410034,1229.092041,12655161
2010-04-26,1490.030029,1499.640015,1470.800049,1490.030029,1237.078735,12656202
2010-04-27,1470.800049,1490.030029,1470.800049,1470.800049,1221.113403,22887060
2010-04-28,1461.189941,1470.800049,1441.959961,1461.189941,1213.134766,8917543
2010-04-29,1461.189941,1480.410034,1461.189941,1461.189941,1213.134766,13672006
2010-04-30,1490.030029,1499.640015,1461.189941,1490.030029,1237.078735,25786237
